"","","","","","",""
"a.temp",-6115553.16967925,-4142367.45919096,6476.41325205563,11225.6849372943,10211.7518688713,4992.52433658555
"a.temp",-6115553.16967925,-4142517.45919096,6611.52505942478,11111.0997345625,10067.2097043518,4971.67318429108
"a.temp",-6115553.16967925,-4142667.45919096,6747.26601012602,10997.3666080292,9922.82954763388,4955.27690965894
"a.temp",-6115403.16967925,-4141467.45919096,5607.92007890639,11839.6850174063,11046.3258702338,5065.51460874398
"a.temp",-6115403.16967925,-4141617.45919096,5739.95667330351,11719.5851595266,10900.4655970007,5018.13443935082
"a.temp",-6115403.16967925,-4141767.45919096,5872.85600124859,11600.1815206227,10754.719207464,4974.82745946016
"a.temp",-6115403.16967925,-4141917.45919096,6006.56079727839,11481.4958220345,10609.0913951853,4935.70088755375
"a.temp",-6115403.16967925,-4142067.45919096,6141.01845066449,11363.5505591956,10463.5871110913,4900.85484904408
"a.temp",-6115403.16967925,-4142217.45919096,6276.18057511109,11246.3690278861,10318.211581054,4870.38122238896
"a.temp",-6115403.16967925,-4142367.45919096,6412.0026209759,11129.975350889,10172.9703249049,4844.36252270606
"a.temp",-6115403.16967925,-4142517.45919096,6548.44352586184,11014.3945049828,10027.8691770184,4822.8708516193
"a.temp",-6115403.16967925,-4142667.45919096,6685.46539976103,10899.6523481896,9882.91430861343,4805.96694239558
"a.temp",-6115403.16967925,-4142817.45919096,6823.03324126462,10785.7756471844,9738.11225194063,4793.69932843093
"a.temp",-6115253.16967925,-4141317.45919096,5404.65369948912,11872.5715542757,11158.9394312988,4976.92196557256
"a.temp",-6115253.16967925,-4141917.45919096,5940.84351009195,11389.9119975264,10573.8956506765,4790.47933420016
"a.temp",-6115253.16967925,-4142667.45919096,6626.48448360078,10803.1370588082,9845.12286522601,4656.7013272701
"a.temp",-6115253.16967925,-4142817.45919096,6765.25177738434,10688.2320947571,9699.75665835985,4644.03943258444
"a.temp",-6115253.16967925,-4142967.45919096,6904.48887401537,10574.2063679217,9554.53370036425,4636.1985776495
"a.temp",-6115103.16967925,-4141317.45919096,5335.74086808959,11785.9367176052,11127.5054810769,4837.59250572004
"a.temp",-6115103.16967925,-4141767.45919096,5741.52728909317,11420.1536465757,10687.2766985512,4687.11065064596
"a.temp",-6115103.16967925,-4142817.45919096,6710.32641615905,10591.9145725122,9663.57740339447,4494.40221290877
"a.temp",-6115103.16967925,-4142967.45919096,6850.67993788953,10476.8406168747,9517.80243708579,4486.29983966735
"a.temp",-6115103.16967925,-4143117.45919096,6991.43408832566,10362.6600982275,9372.16080908753,4483.20435084096
"a.temp",-6114953.16967925,-4141167.45919096,5134.84611370208,11824.682588188,11245.309788147,4758.95106629587
"a.temp",-6114953.16967925,-4141317.45919096,5270.19730289118,11700.5834602978,11098.0100572758,4698.92011545192
"a.temp",-6114953.16967925,-4141467.45919096,5406.32172659022,11577.0975771735,10950.7836354937,4642.96082811375
"a.temp",-6114953.16967925,-4141617.45919096,5543.16241972049,11454.2447726332,10803.6335198578,4591.22208691747
"a.temp",-6114953.16967925,-4142967.45919096,6799.75474641564,10380.7291801393,9483.30175790037,4336.40810480279
"a.temp",-6114953.16967925,-4143117.45919096,6941.54158752954,10265.4796922207,9337.12199938484,4333.20553994377
"a.temp",-6114953.16967925,-4143267.45919096,7083.66674903628,10151.1382766366,9191.06534801034,4335.19379629093
"a.temp",-6114803.16967925,-4139967.45919096,4008.71720272221,12760.8458697453,12401.4419013031,5247.12152054802
"a.temp",-6114803.16967925,-4140117.45919096,4137.40844145233,12631.6951479758,12253.3504084146,5157.95688731481
"a.temp",-6114803.16967925,-4140267.45919096,4267.49148931794,12503.0099300686,12105.3059123425,5071.66188259808
"a.temp",-6114803.16967925,-4141017.45919096,4934.89195539288,11867.0945185161,11365.8526398768,4688.59565876592
"a.temp",-6114803.16967925,-4142967.45919096,6751.77855171525,10285.907218685,9451.05609079727,4186.52412526183
"a.temp",-6114803.16967925,-4143117.45919096,6894.5520965036,10169.583192609,9304.36973853664,4183.20681432312
"a.temp",-6114803.16967925,-4143267.45919096,7037.62627676422,10054.1512476885,9157.79073965967,4185.266329805
"a.temp",-6114653.16967925,-4139817.45919096,3802.80522922236,12815.9666553637,12527.0257935152,5222.31732580453
"a.temp",-6114653.16967925,-4140417.45919096,4329.5112439398,12297.2005477424,11933.6379713562,4863.28471831522
"a.temp",-6114653.16967925,-4140867.45919096,4735.99753076385,11913.1333540507,11489.0478383283,4626.90428379479
"a.temp",-6114653.16967925,-4142817.45919096,6563.38537733402,10310.6595963302,9568.33711944747,4045.6517709016
"a.temp",-6114653.16967925,-4143267.45919096,6994.50016880422,9958.47911638098,9126.86037098171,4035.34425438518
"a.temp",-6114653.16967925,-4143417.45919096,7138.72310790958,9842.85737534565,8979.88948881869,4043.04813864484
"a.temp",-6114653.16967925,-4144017.45919096,7717.81754198701,9390.10017579134,8393.07781635537,4128.58065821654
"a.temp",-6114503.16967925,-4140567.45919096,4400.89213812395,12091.6097072059,11763.290323349,4655.24674441629
"a.temp",-6114503.16967925,-4140717.45919096,4538.30217277357,11962.7572202814,11614.8109856078,4574.22750324014
"a.temp",-6114503.16967925,-4143417.45919096,7099.38142456104,9747.41967452906,8950.85829579468,3893.4287268935
"a.temp",-6114503.16967925,-4143567.45919096,7244.62225456941,9631.60035048155,8803.50494015858,3907.1757384842
"a.temp",-6114503.16967925,-4144017.45919096,7681.44235228011,9290.01239565354,8362.00958091993,3982.17619542377
"a.temp",-6114503.16967925,-4144167.45919096,7827.38089091125,9178.22778707287,8215.04955745227,4018.07942323193
"a.temp",-6114353.16967925,-4139517.45919096,3393.28095084991,12935.9433096854,12785.0539002147,5198.38688935309
"a.temp",-6114353.16967925,-4139667.45919096,3525.29298234926,12803.2872463049,12636.1164220418,5095.14094519456
"a.temp",-6114353.16967925,-4139817.45919096,3658.69178961565,12671.0180850394,12487.2043801403,4994.26633765143
"a.temp",-6114353.16967925,-4140567.45919096,4341.96966956257,12015.9217004521,11743.0595771032,4530.87974364786
"a.temp",-6114353.16967925,-4143567.45919096,7208.98055285228,9536.40783059305,8776.45419468458,3758.1340119
"a.temp",-6114353.16967925,-4143717.45919096,7355.11628809514,9420.38265206867,8628.73010537452,3778.33379300978
"a.temp",-6114353.16967925,-4143867.45919096,7501.4045759046,9305.3288126426,8481.08591109633,3804.34504894071
"a.temp",-6114353.16967925,-4148067.45919096,11635.9121091303,6673.38926718635,4412.05147651274,6185.92121283494
"a.temp",-6114203.16967925,-4139967.45919096,3730.84569654134,12467.9823272009,12320.8586239513,4782.51819143412
"a.temp",-6114203.16967925,-4140117.45919096,3868.79110464769,12335.7658177916,12171.7867312649,4684.518678733
"a.temp",-6114203.16967925,-4140267.45919096,4007.60272624435,12203.9605584169,12022.7379257553,4589.33004385154
"a.temp",-6114203.16967925,-4140417.45919096,4147.19358258102,12072.5800188442,11873.7130768515,4497.13077988604
"a.temp",-6114203.16967925,-4140567.45919096,4287.48756399378,11941.6382172378,11724.7130980419,4408.10846638312
"a.temp",-6114203.16967925,-4143267.45919096,6883.13733782803,9679.73932042574,9048.36599786925,3585.61713675617
"a.temp",-6114203.16967925,-4143717.45919096,7323.08573016884,9325.44681564355,8603.74524445004,3630.20044231716
"a.temp",-6114203.16967925,-4143867.45919096,7470.00131267743,9209.206986022,8455.66480126765,3657.26540620171
"a.temp",-6114203.16967925,-4147917.45919096,11466.9509727479,6606.73431518159,4505.75323685155,5975.86272026067
