"","","","","a","a","a","a"
"a.temp","-6115853.16967925","-4145817.45919096","Wetland (2-3)","9787.53981403922","9107.55781268486","7068.53473015428","5880.61274455309"
"a.temp","-6115853.16967925","-4145967.45919096","Wetland (2-3)","9929.71654234918","9023.47739573813","6933.11028553543","5950.53285440895"
"a.temp","-6115853.16967925","-4146117.45919096","Wetland (2-3)","10072.1202143046","8941.12293346854","6798.29781867471","6023.37747874067"
"a.temp","-6115703.16967925","-4145517.45919096","Wetland (2-3)","9455.37490591478","9159.79739466965","7280.86273949709","5613.79419389419"
"a.temp","-6115703.16967925","-4145667.45919096","Wetland (2-3)","9597.7835780665","9071.24155291859","7143.16437101913","5679.07741199221"
"a.temp","-6115703.16967925","-4145817.45919096","Wetland (2-3)","9740.42014552776","8984.31735366672","7005.97118402561","5747.5347107608"
"a.temp","-6115703.16967925","-4145967.45919096","Wetland (2-3)","9883.27474126886","8899.07260962608","6869.31344687351","5819.05406843761"
"a.temp","-6115703.16967925","-4146117.45919096","Wetland (2-3)","10026.338045937","8815.55604096515","6733.22376216603","5893.52400957189"
"a.temp","-6115553.16967925","-4142217.45919096","Wetland (2-3)","6341.97079868724","11341.0963893001","10356.449257897","5017.77483067932"
"a.temp","-6115553.16967925","-4142367.45919096","River (1)","6476.41325205563","11225.6849372943","10211.7518688713","4992.52433658555"
"a.temp","-6115553.16967925","-4142517.45919096","River (1)","6611.52505942478","11111.0997345625","10067.2097043518","4971.67318429108"
"a.temp","-6115553.16967925","-4142667.45919096","River (1)","6747.26601012602","10997.3666080292","9922.82954763388","4955.27690965894"
"a.temp","-6115553.16967925","-4145367.45919096","Wetland (2-3)","9266.10104690224","9131.08439953311","7362.5115437191","5414.79447914693"
"a.temp","-6115553.16967925","-4145517.45919096","Wetland (2-3)","9408.98313376121","9039.75869763109","7223.25489176431","5478.34229045613"
"a.temp","-6115553.16967925","-4145667.45919096","Wetland (2-3)","9552.08346966268","8950.01521291428","7084.43690291594","5545.2203970086"
"a.temp","-6115553.16967925","-4145817.45919096","Wetland (2-3)","9695.39239079074","8861.90201431933","6946.08387736552","5615.30980903104"
"a.temp","-6115553.16967925","-4145967.45919096","Wetland (2-3)","9838.90078267908","8775.4682103804","6808.22416136523","5688.49182573029"
"a.temp","-6115553.16967925","-4146117.45919096","Wetland (2-3)","9982.60004264436","8690.76390839132","6670.88833899934","5764.6486667793"
"a.temp","-6115553.16967925","-4146267.45919096","Wetland (2-3)","10126.4820451825","8607.84016530263","6534.10944440001","5843.66402622536"
"a.temp","-6115403.16967925","-4141467.45919096","River (1)","5607.92007890639","11839.6850174063","11046.3258702338","5065.51460874398"
"a.temp","-6115403.16967925","-4141617.45919096","River (1)","5739.95667330351","11719.5851595266","10900.4655970007","5018.13443935082"
"a.temp","-6115403.16967925","-4141767.45919096","River (1)","5872.85600124859","11600.1815206227","10754.719207464","4974.82745946016"
"a.temp","-6115403.16967925","-4141917.45919096","River (1)","6006.56079727839","11481.4958220345","10609.0913951853","4935.70088755375"
"a.temp","-6115403.16967925","-4142067.45919096","River (1)","6141.01845066449","11363.5505591956","10463.5871110913","4900.85484904408"
"a.temp","-6115403.16967925","-4142217.45919096","River (1)","6276.18057511109","11246.3690278861","10318.211581054","4870.38122238896"
"a.temp","-6115403.16967925","-4142367.45919096","River (1)","6412.0026209759","11129.975350889","10172.9703249049","4844.36252270606"
"a.temp","-6115403.16967925","-4142517.45919096","River (1)","6548.44352586184","11014.3945049828","10027.8691770184","4822.8708516193"
"a.temp","-6115403.16967925","-4142667.45919096","River (1)","6685.46539976103","10899.6523481896","9882.91430861343","4805.96694239558"
"a.temp","-6115403.16967925","-4142817.45919096","River (1)","6823.03324126462","10785.7756471844","9738.11225194063","4793.69932843093"
"a.temp","-6115403.16967925","-4145067.45919096","Wetland (2-3)","8934.69683936745","9202.7703063478","7590.34618653174","5158.78650957762"
"a.temp","-6115403.16967925","-4145217.45919096","Wetland (2-3)","9077.83799213242","9107.22330413594","7449.3080370862","5216.82980855232"
"a.temp","-6115403.16967925","-4145367.45919096","Wetland (2-3)","9221.19718970389","9013.15989602963","7308.62676782698","5278.49867399814"
"a.temp","-6115403.16967925","-4145517.45919096","Wetland (2-3)","9364.76441836114","8920.62701335489","7168.32339054239","5343.66758429079"
"a.temp","-6115403.16967925","-4145667.45919096","Wetland (2-3)","9508.53025506061","8829.6727748766","7028.42053603775","5412.21010783952"
"a.temp","-6115403.16967925","-4145817.45919096","Wetland (2-3)","9652.4858254961","8740.3464640366","6888.94260619126","5483.99974939827"
"a.temp","-6115403.16967925","-4145967.45919096","Wetland (2-3)","9796.62276559647","8652.6984988151","6749.91594254308","5558.91070726994"
"a.temp","-6115403.16967925","-4146117.45919096","Wetland (2-3)","9940.93318614521","8566.78039355493","6611.36901340391","5636.81853986807"
"a.temp","-6115403.16967925","-4146267.45919096","Wetland (2-3)","10085.4096402379","8482.64471208108","6473.33262171792","5717.6007425668"
"a.temp","-6115403.16967925","-4146417.45919096","Wetland (2-3)","10230.0450933221","8400.34501145026","6335.84013619326","5801.13723776645"
"a.temp","-6115403.16967925","-4148067.45919096","Wetland (2-3)","11829.8566183789","7632.278906814","4872.37675384386","6870.79167573877"
"a.temp","-6115403.16967925","-4148217.45919096","Wetland (2-3)","11975.9693808645","7576.42503502793","4745.40727771581","6979.25592390773"
